"AMARILLO ISD","FANNIN MIDDLE","188901044","188901","188","16","POTTER","M","06 - 08","N"
"AMARILLO ISD","FOREST HILL EL","188901107","188901","188","16","POTTER","E","PK - 05","N"
"AMARILLO ISD","GLENWOOD EL","188901108","188901","188","16","POTTER","E","PK - 05","N"
"AMARILLO ISD","HAMLET EL","188901109","188901","188","16","POTTER","E","EE - 05","N"
"AMARILLO ISD","HOUSTON MIDDLE","188901045","188901","188","16","POTTER","M","06 - 08","N"
"AMARILLO ISD","HUMPHREY'S HIGHLAND EL","188901111","188901","188","16","POTTER","E","PK - 05","N"
"AMARILLO ISD","LAMAR EL","188901112","188901","188","16","POTTER","E","EE - 05","N"
"AMARILLO ISD","LANDERGIN EL","188901113","188901","188","16","POTTER","E","PK - 05","N"
"AMARILLO ISD","LAWNDALE EL","188901114","188901","188","16","POTTER","E","EE - 05","N"
"AMARILLO ISD","LEE EL","188901115","188901","188","16","POTTER","E","PK - 05","N"
"AMARILLO ISD","MANN MIDDLE","188901046","188901","188","16","POTTER","M","06 - 08","N"
"AMARILLO ISD","MESA VERDE EL","188901134","188901","188","16","POTTER","E","EE - 05","N"
"AMARILLO ISD","NORTH HEIGHTS ALTER","188901138","188901","188","16","POTTER","S","07 - 12","N"
"AMARILLO ISD","OAK DALE EL","188901119","188901","188","16","POTTER","E","PK - 05","N"
"AMARILLO ISD","OLSEN PARK EL","188901120","188901","188","16","POTTER","E","PK - 05","N"
"AMARILLO ISD","PALO DURO H S","188901004","188901","188","16","POTTER","S","09 - 12","N"
"AMARILLO ISD","PARAMOUNT TERRACE EL","188901121","188901","188","16","POTTER","E","EE - 05","N"
"AMARILLO ISD","PLEASANT VALLEY EL","188901122","188901","188","16","POTTER","E","PK - 05","N"
"AMARILLO ISD","PUCKETT EL","188901139","188901","188","16","POTTER","E","KG - 05","N"
"AMARILLO ISD","RIDGECREST EL","188901123","188901","188","16","POTTER","E","EE - 05","N"
"AMARILLO ISD","ROGERS EL","188901124","188901","188","16","POTTER","E","PK - 05","N"
"AMARILLO ISD","SAN JACINTO EL","188901126","188901","188","16","POTTER","E","EE - 05","N"
"AMARILLO ISD","SANBORN EL","188901125","188901","188","16","POTTER","E","PK - 05","N"
"AMARILLO ISD","SLEEPY HOLLOW EL","188901140","188901","188","16","POTTER","E","KG - 05","N"
"AMARILLO ISD","SOUTH GEORGIA EL","188901127","188901","188","16","POTTER","E","EE - 05","N"
"AMARILLO ISD","SOUTH LAWN EL","188901128","188901","188","16","POTTER","E","EE - 05","N"
