"ALICE ISD","NOONAN EL","125901","125901104","","N","A","NA","","N","KG - 05","125","02","JIM WELLS","Elementary"
"ALICE ISD","SAENZ EL","125901","125901105","","N","A","NA","","N","KG - 05","125","02","JIM WELLS","Elementary"
"ALICE ISD","SALAZAR EL","125901","125901106","","N","A","NA","","N","KG - 05","125","02","JIM WELLS","Elementary"
"ALICE ISD","SCHALLERT EL","125901","125901107","","N","A","NA","","N","KG - 05","125","02","JIM WELLS","Elementary"
"ALIEF ISD","A J MARTIN EL","101903","101903103","","N","R","NA","","N","EE - 04","101","04","HARRIS","Elementary"
"ALIEF ISD","ADMIN SERVICES","101903","101903199","","N","N","NR","","N","01 - 12","101","04","HARRIS","Both Elem/Sec"
"ALIEF ISD","ALBRIGHT MIDDLE","101903","101903045","","N","R","NA","","N","06 - 08","101","04","HARRIS","Middle"
"ALIEF ISD","ALIEF LEARNING CTR","101903","101903005","","N","1","PE","","N","01 - 12","101","04","HARRIS","Both Elem/Sec"
"ALIEF ISD","ALIEF MIDDLE","101903","101903041","","N","A","NA","","N","06 - 08","101","04","HARRIS","Middle"
"ALIEF ISD","BEST EL","101903","101903118","","N","A","NA","","N","EE - 04","101","04","HARRIS","Elementary"
"ALIEF ISD","BOONE EL","101903","101903102","","N","A","NA","","N","PK - 05","101","04","HARRIS","Elementary"
"ALIEF ISD","CHANCELLOR EL","101903","101903108","","N","R","NA","","N","EE - 05","101","04","HARRIS","Elementary"
"ALIEF ISD","CUMMINGS EL","101903","101903112","","N","R","NA","","N","EE - 04","101","04","HARRIS","Elementary"
"ALIEF ISD","DEBORAH ALEXANDER EL","101903","101903114","","N","R","NA","","N","EE - 05","101","04","HARRIS","Elementary"
"ALIEF ISD","DON P KILLOUGH MIDDLE","101903","101903043","","N","A","NA","","N","07 - 08","101","04","HARRIS","Middle"
"ALIEF ISD","DOUGLAS SMITH EL","101903","101903105","","N","A","NA","","N","EE - 04","101","04","HARRIS","Elementary"
"ALIEF ISD","E A OLLE MIDDLE","101903","101903042","","N","A","NA","","N","06 - 08","101","04","HARRIS","Middle"
"ALIEF ISD","ELSIK H S","101903","101903002","","N","A","NQ","","N","09 - 12","101","04","HARRIS","Secondary"
"ALIEF ISD","FLEM REES EL","101903","101903113","","N","A","NA","","N","KG - 05","101","04","HARRIS","Elementary"
"ALIEF ISD","HASTINGS H S","101903","101903001","","N","A","NQ","","N","09 - 12","101","04","HARRIS","Secondary"
"ALIEF ISD","HEARNE EL","101903","101903115","","N","A","NA","","N","EE - 05","101","04","HARRIS","Elementary"
"ALIEF ISD","HEFLIN EL","101903","101903111","","N","E","NA","","N","EE - 05","101","04","HARRIS","Elementary"
"ALIEF ISD","HICKS EL","101903","101903120","","N","A","NA","","N","EE - 05","101","04","HARRIS","Elementary"
"ALIEF ISD","JAMES HOLUB MIDDLE","101903","101903044","","N","A","NA","","N","06 - 08","101","04","HARRIS","Middle"
"ALIEF ISD","KERR H S","101903","101903006","","N","R","NQ","","N","09 - 12","101","04","HARRIS","Secondary"
"ALIEF ISD","KLENTZMAN INT","101903","101903141","","N","A","NA","","N","05 - 06","101","04","HARRIS","Middle"
"ALIEF ISD","LIESTMAN EL","101903","101903109","","N","A","NA","","N","EE - 04","101","04","HARRIS","Elementary"
"ALIEF ISD","MICHAEL KENNEDY EL","101903","101903107","","N","R","NA","","N","EE - 05","101","04","HARRIS","Elementary"
"ALIEF ISD","MILDRED V LANDIS EL","101903","101903116","","N","A","NA","","N","PK - 04","101","04","HARRIS","Elementary"
"ALIEF ISD","O'DONNELL MIDDLE","101903","101903046","","N","A","NA","","N","06 - 08","101","04","HARRIS","Middle"
"ALIEF ISD","OUTLEY EL","101903","101903119","","N","R","NA","","N","EE - 05","101","04","HARRIS","Elementary"
"ALIEF ISD","OWENS INT","101903","101903140","","N","A","NA","","N","05 - 06","101","04","HARRIS","Middle"
"ALIEF ISD","PETROSKY EL","101903","101903110","","N","R","NA","","N","EE - 05","101","04","HARRIS","Elementary"
"ALIEF ISD","SNEED EL","101903","101903117","","N","A","NA","","N","EE - 04","101","04","HARRIS","Elementary"
"ALIEF ISD","V G CHAMBERS EL","101903","101903104","","N","A","NA","","N","EE - 04","101","04","HARRIS","Elementary"
"ALIEF ISD","VIOLA MAHANAY EL","101903","101903106","","N","R","NA","","N","EE - 05","101","04","HARRIS","Elementary"
"ALIEF ISD","YOUENS EL","101903","101903101","","N","A","NA","","N","EE - 05","101","04","HARRIS","Elementary"
"ALIEF ISD","YOUNGBLOOD INT","101903","101903142","","N","R","NA","","N","05 - 06","101","04","HARRIS","Middle"
"ALLEN ISD","ALLEN H S","043901","043901001","","N","A","NQ","","N","09 - 12","043","10","COLLIN","Secondary"
"ALLEN ISD","ALTON BOYD EL","043901","043901102","","N","R","NA","","N","KG - 06","043","10","COLLIN","Elementary"
"ALLEN ISD","ALVIS C STORY EL","043901","043901105","","N","E","NA","","N","EE - 06","043","10","COLLIN","Elementary"
"ALLEN ISD","D L ROUNTREE EL","043901","043901101","","N","R","NA","","N","KG - 06","043","10","COLLIN","Elementary"
"ALLEN ISD","FLOSSIE FLOYD GREEN EL","043901","043901107","","N","E","NA","","N","KG - 06","043","10","COLLIN","Elementary"
"ALLEN ISD","GENE M REED JR EL","043901","043901104","","N","E","NA","","N","KG - 06","043","10","COLLIN","Elementary"
"ALLEN ISD","MAX O VAUGHAN EL","043901","043901106","","N","E","NA","","N","EE - 06","043","10","COLLIN","Elementary"
"ALLEN ISD","W E PETE FORD MIDDLE","043901","043901042","","N","E","NA","","N","07 - 09","043","10","COLLIN","Middle"
"ALLEN ISD","WALTER & LOIS CURTIS MIDDLE","043901","043901043","","N","E","NA","","N","07 - 09","043","10","COLLIN","Middle"
"ALLISON ISD","ALLISON SCHOOL","242904","242904001","","N","A","AB","","N","KG - 12","242","16","WHEELER","Both Elem/Sec"
"ALPINE ISD","ALPINE EL","022901","022901101","","N","A","NA","","N","EE - 04","022","18","BREWSTER","Elementary"
"ALPINE ISD","ALPINE H S","022901","022901001","","N","A","NQ","","N","09 - 12","022","18","BREWSTER","Secondary"
"ALPINE ISD","ALPINE J H","022901","022901041","","N","R","NA","","N","05 - 08","022","18","BREWSTER","Middle"
"ALTO ISD","ALTO EL","037901","037901101","","N","A","NA","","N","PK - 06","037","07","CHEROKEE","Elementary"
"ALTO ISD","ALTO H S","037901","037901001","","N","A","NQ","","N","07 - 12","037","07","CHEROKEE","Secondary"
